,TP,FP,TN,FN,A,B,C,D,E,F,G,H,Precision,Fitness,F1,N,P,T
66,472,15,485,28,1,0,0,1,0,1,1,1,0.9691991786447639,0.944,0.956433637284701,0.9575518262586377,0.956433637284701,0.9570003265766125
67,419,66,434,81,1,0,1,1,0,1,1,1,0.8639175257731959,0.838,0.8507614213197969,0.8551724137931034,0.8507614213197969,0.8530057011948439
68,420,65,435,80,1,0,0,0,0,1,0,0,0.865979381443299,0.84,0.8527918781725888,0.8571428571428571,0.8527918781725888,0.8550055341399183
69,341,137,363,159,0,0,0,0,1,1,1,0,0.7133891213389121,0.682,0.6973415132924335,0.7103718199608611,0.6973415132924335,0.7040602651683415
70,350,99,401,150,1,0,1,0,0,1,0,0,0.779510022271715,0.7,0.7376185458377238,0.7630827783063749,0.7376185458377238,0.7512152931345668
71,313,202,298,187,0,0,1,0,1,1,1,0,0.6077669902912621,0.626,0.6167487684729064,0.6050761421319797,0.6167487684729064,0.6110557363131746
72,369,112,388,131,1,2,1,0,1,0,1,0,0.7671517671517671,0.738,0.7522935779816513,0.7615309126594701,0.7522935779816513,0.7570281695998728
73,476,35,465,24,0,2,1,0,0,0,0,0,0.9315068493150684,0.952,0.9416419386745797,0.9403437815975733,0.9416419386745797,0.9410004476641567
74,439,43,457,61,1,2,0,0,1,0,1,0,0.9107883817427386,0.878,0.8940936863543788,0.8978388998035364,0.8940936863543788,0.8960039124104782
75,497,3,497,3,0,2,0,0,0,0,0,0,0.994,0.994,0.994,0.994,0.994,0.994
76,390,77,423,110,1,1,0,0,0,1,1,0,0.8351177730192719,0.78,0.8066184074457085,0.8189738625363019,0.8066184074457085,0.8130468914596335
77,299,202,298,201,0,1,0,0,1,1,0,0,0.5968063872255489,0.598,0.5974025974025975,0.5965965965965967,0.5974025974025975,0.5970002720421482
78,410,87,413,90,1,1,1,0,0,1,1,0,0.8249496981891348,0.82,0.8224674022066198,0.8235294117647058,0.8224674022066198,0.8230003426045415
79,344,169,331,156,0,1,1,0,1,1,0,0,0.6705653021442495,0.688,0.6791707798617966,0.6707193515704154,0.6791707798617966,0.6750264498403934
80,433,53,447,67,0,2,1,1,0,0,1,1,0.8909465020576132,0.866,0.8782961460446248,0.8816568047337278,0.8782961460446248,0.8800032079014759
81,494,5,495,6,0,2,0,1,0,0,1,1,0.9899799599198397,0.988,0.988988988988989,0.989010989010989,0.988988988988989,0.989000000122346
82,465,25,475,35,0,1,0,1,1,1,1,1,0.9489795918367347,0.93,0.9393939393939393,0.9405940594059405,0.9393939393939393,0.9400003830170252
83,429,35,465,71,0,1,1,1,1,1,1,1,0.9245689655172413,0.858,0.8900414937759336,0.8976833976833978,0.8900414937759336,0.8940163095667286
